A22J,牧場物語 ふたごの村+
AD7E,Dragon Quest VII: Fragments of the Forgotten Past
AD7P,Dragon Quest VII: Fragments of the Forgotten Past
AD8J,ちび☆デビ！
ADAE,Nintendogs + Cats: Golden Retriever & New Friends
ADAJ,nintendogs + cats 柴 & Newフレンズ
ADAP,Nintendogs + Cats: Golden Retriever & New Friends
ADAW,任天狗狗 + 貓貓 - 柴犬與新伙伴們
ADBE,Nintendogs + Cats: French Bulldog & New Friends
ADBJ,nintendogs + cats フレンチ･ブル & Newフレンズ
ADBP,Nintendogs + Cats: French Bulldog & New Friends
ADBW,任天狗狗 + 貓貓 - 法國鬥牛犬與新伙伴們
ADCE,Nintendogs + Cats: Toy Poodle & New Friends
ADCJ,nintendogs + cats トイ･プードル & Newフレンズ
ADCP,Nintendogs + Cats: Toy Poodle & New Friends
ADCW,任天狗狗 + 貓貓 - 玩具貴賓犬與新伙伴們
ADDE,Dead or Alive: Dimensions
ADDP,Dead or Alive: Dimensions
ADEE,Deca Sports Extreme
ADEJ,DECA SPORTA 3D SPORTS（デカスポルタ 3Dスポーツ）
ADEP,Sports Island 3D
ADGJ,ドラゴンボールヒーローズ アルティメットミッション
ADHP,Mystery Case Files: Dire Grove
ADKJ,大戦略 大東亜興亡史 第二次世界大戦勃発! ~枢軸軍対連合軍 全世界戦~
ADLE,Doctor Lautrec and the Forgotten Knights
ADLJ,ドクターロートレックと忘却の騎士団
ADLP,Doctor Lautrec and the Forgotten Knights
ADME,Moshi Monsters: Katsuma Unleashed
ADMP,Moshi Monsters: Katsuma Unleashed
ADNE,LBX: Little Battlers eXperience
ADNP,LBX: Little Battlers eXperience
ADNZ,LBX: Little Battlers eXperience
ADPD,Princess: My Fairytale Adventure
ADPE,Princess: My Fairytale Adventure
ADPP,Princess: My Fairytale Adventure
ADPS,Princess: My Fairytale Adventure
ADPX,Princess: My Fairytale Adventure
ADQE,Miitopia
ADQJ,ミートピア
ADQP,Miitopia
ADRE,Driver: Renegade
ADRJ,ドライバー：レネゲイド 3D
ADRP,Driver: Renegade 3D
ADTE,Dream Trigger 3D
ADTP,Dream Trigger 3D
ADWK,도라에몽 진구의 수학 대모험
ADWW,哆啦A夢 大雄的數字大冒險
ADXP,Shin Megami Tensei: Devil Survivor 2: Record Breaker
ADYE,Infinity: Toy Box Challenge
ADYJ,ディズニー インフィニティ トイ・ボックス・チャレンジ
ADYP,Disney Infinity
ADYZ,Disney Infinity
ADZJ,でんぢゃらすじーさんと1000人のお友だち邪
AE2D,Pro Evolution Soccer 2012 3D
AE2E,Pro Evolution Soccer 2012 3D
AE2I,Pro Evolution Soccer 2012 3D
AE2J,ワールドサッカー ウイニングイレブン 2012
AE2P,Pro Evolution Soccer 2012 3D
AE3J,お茶犬といつもなかよし
AE4P,Inazuma Eleven GO: Light
AEAE,Hot Wheels: World's Best Driver
AEAP,Hot Wheels: World's Best Driver
AEBE,Regular Show: Mordecai & Rigby in 8-Bit Land
AEBP,Regular Show: Mordecai & Rigby in 8-Bit Land
AECE,Disney Epic Mickey: Power of Illusion
